# timestamp,line
1618426175444,1618426175432446976-20.50
1618426175444,1618426175432446976-59.40
1618426175444,1618426175432446976-19.70
1618426176443,1618426176432446976-19.50
1618426176443,1618426176432446976-58.80
1618426176443,1618426176432446976-63.10
1618426176443,1618426176432446976-21.00
1618426177443,1618426177432446976-21.50
1618426177443,1618426177432446976-56.30
1618426177443,1618426177432446976-65.60
1618426177443,1618426177432446976-20.60
1618426178441,1618426178432446976-77.20
1618426178441,1618426178432446976-22.00
1618426178443,1618426178432446976-20.40
1618426178443,1618426178432446976-63.50
1618426179435,1618426179432446976-62.20
1618426179435,1618426179432446976-23.70
1618426179435,1618426179432446976-76.80
1618426179435,1618426179432446976-22.50
1618426180437,1618426180432446976-84.90
1618426180437,1618426180432446976-68.10
1618426180437,1618426180432446976-23.00
1618426180437,1618426180432446976-22.00
1618426181434,1618426181432446976-24.20
1618426181435,1618426181432446976-81.00
1618426181435,1618426181432446976-73.60
1618426181435,1618426181432446976-24.50
1618426182443,1618426182432446976-26.10
1618426182443,1618426182432446976-89.70
1618426182444,1618426182432446976-72.90
1618426182444,1618426182432446976-24.30
1618426183441,1618426183432446976-25.30
1618426183441,1618426183432446976-76.40
1618426183441,1618426183432446976-22.70
1618426183441,1618426183432446976-93.30
1618426184440,1618426184432446976-74.80
1618426184440,1618426184432446976-19.90
1618426184440,1618426184432446976-24.80
1618426184440,1618426184432446976-78.70
1618426185437,1618426185432446976-22.90
1618426185437,1618426185432446976-74.30
1618426185437,1618426185432446976-59.40
1618426185437,1618426185432446976-17.30
1618426186447,1618426186432446976-20.00
1618426186447,1618426186432446976-19.30
1618426186447,1618426186432446976-61.70
1618426186447,1618426186432446976-50.00
1618426187444,1618426187432446976-59.40
1618426187444,1618426187432446976-55.30
1618426187444,1618426187432446976-20.50
1618426187444,1618426187432446976-19.70
1618426188442,1618426188432446976-63.10
1618426188443,1618426188432446976-19.50
1618426188444,1618426188432446976-58.80
1618426188444,1618426188432446976-21.00
1618426189440,1618426189432446976-65.60
1618426189440,1618426189432446976-20.60
1618426189440,1618426189432446976-21.50
1618426189440,1618426189432446976-56.30
1618426190446,1618426190432446976-63.50
1618426190446,1618426190432446976-22.00
1618426190446,1618426190432446976-77.20
1618426190446,1618426190432446976-20.40
1618426191440,1618426191432446976-76.80
1618426191440,1618426191432446976-23.70
1618426191440,1618426191432446976-62.20
1618426191440,1618426191432446976-22.50
1618426192436,1618426192432446976-68.10
1618426192436,1618426192432446976-22.00
1618426192436,1618426192432446976-23.00
1618426192436,1618426192432446976-84.90
1618426193438,1618426193432446976-81.00
1618426193438,1618426193432446976-73.60
1618426193438,1618426193432446976-24.50
1618426193438,1618426193432446976-24.20
1618426194437,1618426194432446976-72.90
1618426194437,1618426194432446976-89.70
1618426194437,1618426194432446976-26.10
1618426194437,1618426194432446976-24.30
1618426195439,1618426195432446976-76.40
1618426195439,1618426195432446976-22.70
1618426195439,1618426195432446976-93.30
1618426195439,1618426195432446976-25.30
1618426196448,1618426196432446976-24.80
1618426196448,1618426196432446976-74.80
1618426196448,1618426196432446976-19.90
1618426196448,1618426196432446976-78.70
1618426197444,1618426197432446976-17.30
1618426197445,1618426197432446976-74.30
1618426197445,1618426197432446976-59.40
1618426197445,1618426197432446976-22.90
1618426198448,1618426198432446976-50.00
1618426198448,1618426198432446976-19.30
1618426198448,1618426198432446976-61.70
1618426198448,1618426198432446976-20.00
1618426199439,1618426199432446976-20.50
1618426199439,1618426199432446976-55.30
1618426199439,1618426199432446976-19.70
1618426199439,1618426199432446976-59.40
1618426200436,1618426200432446976-63.10
1618426200436,1618426200432446976-21.00
1618426200436,1618426200432446976-58.80
1618426200436,1618426200432446976-19.50
1618426201446,1618426201432446976-65.60
1618426201446,1618426201432446976-21.50
1618426201446,1618426201432446976-56.30
1618426201446,1618426201432446976-20.60
1618426202443,1618426202432446976-20.40
1618426202443,1618426202432446976-77.20
1618426202443,1618426202432446976-63.50
1618426202443,1618426202432446976-22.00
1618426203442,1618426203432446976-76.80
1618426203442,1618426203432446976-62.20
1618426203442,1618426203432446976-23.70
1618426203442,1618426203432446976-22.50
1618426204439,1618426204432446976-23.00
1618426204439,1618426204432446976-84.90
1618426204439,1618426204432446976-22.00
1618426204439,1618426204432446976-68.10
1618426205436,1618426205432446976-24.20
1618426205436,1618426205432446976-24.50
1618426205436,1618426205432446976-73.60
1618426205437,1618426205432446976-81.00
1618426206441,1618426206432446976-89.70
1618426206441,1618426206432446976-26.10
1618426206441,1618426206432446976-24.30
1618426206441,1618426206432446976-72.90
1618426207447,1618426207432446976-22.70
1618426207447,1618426207432446976-93.30
1618426207447,1618426207432446976-76.40
1618426207447,1618426207432446976-25.30
1618426208445,1618426208432446976-24.80
1618426208445,1618426208432446976-74.80
1618426208445,1618426208432446976-19.90
1618426208446,1618426208432446976-78.70
1618426209443,1618426209432446976-74.30
1618426209443,1618426209432446976-22.90
1618426209443,1618426209432446976-59.40
1618426209443,1618426209432446976-17.30
1618426210436,1618426210432446976-50.00
